case,instance_id,family,universe,dimension,rank,k,gamma_scale,gamma,regime,constraint_count,constraint_names,constraint_signature,constraint_nnz,equality_row_count,two_sided_row_count,lower_only_row_count,upper_only_row_count,instance_provenance,paper_returns_used,seed,target_iterations,tolerance,feasibility_tolerance,max_iterations,time_limit,threads,commercial_log,reference_tolerance,effective_commercial_tolerance,constraint_profile,sector_count,style_factor_count,stress_constraint_count,sector_band,style_band,stress_band,pdhg_check_interval,pdhg_min_epoch,pdhg_max_epoch,fista_initial_lipschitz,fista_backtracking_factor,fista_step_growth,fista_line_search_tolerance,fista_adaptive_restart,fista_history_interval,fista_prox_tolerance,fista_prox_max_iterations,fista_max_backtracks,fista_prox_oracles,fista_major_max_iterations,backend,variant,pava,prox_oracle,status,objective,safe_dual_bound,certificate_verified,anchor_safe_gap,iterations,residual,relative_residual,line_search_backtracks,restarts,gradient_evaluations,prox_calls,pava_calls,prox_scalar_evaluations,dual_bound_evaluations,initial_lipschitz,final_lipschitz,budget_value,linear_row_violation,nonnegativity_violation,upper_box_violation,perspective_budget_violation,maximum_violation,primal_feasible,solve_seconds,total_seconds,wrapper_seconds,reference_backend,reference_objective,safe_dual_gap_to_reference,safe_dual_relative_gap_to_reference,objective_error_to_reference,feasible_objective_gap_to_reference
historical-sp500-n499-r50-k10-g100-unconstrained,historical-sp500-n499-r50-k10-g100-unconstrained-deterministic_synthetic_factor_generator-seed7,historical,sp500,499,50,10,100.0,4.476614810358452,unconstrained,1,budget,0af96a8ed622,499,1,0,0,0,deterministic_synthetic_factor_generator,False,7,200,1e-06,1e-06,5000,20.0,1,False,1e-10,1e-10,bcw,0,0,0,0.0,0.0,0.0,50,100,2000,,2.0,1.1,1e-12,True,25,1e-08,1000,60,auto,20000,fista,adaptive-restart,partial_sort,exact_budget_scalar_brent,converged,-0.002301248679295962,-0.002301292459090748,True,0.004141932923100481,37,8.377264893944522e-07,8.377264893944522e-07,0,1,37,37,274,274,5,0.29769311091266837,0.008754663010926091,0.9999999999999627,3.730349362740526e-14,0.0,0.0,0.0,3.730349362740526e-14,True,0.051492400001734495,0.054873600020073354,0.11200069996993989,,,,,,
historical-sp500-n499-r50-k10-g100-unconstrained,historical-sp500-n499-r50-k10-g100-unconstrained-deterministic_synthetic_factor_generator-seed7,historical,sp500,499,50,10,100.0,4.476614810358452,unconstrained,1,budget,0af96a8ed622,499,1,0,0,0,deterministic_synthetic_factor_generator,False,7,200,1e-06,1e-06,5000,20.0,1,False,1e-10,1e-10,bcw,0,0,0,0.0,0.0,0.0,50,100,2000,,2.0,1.1,1e-12,True,25,1e-08,1000,60,auto,20000,pdhg,metric-linesearch-restart,partial_sort,,iteration_limit,-0.002301269765247072,-0.002301249377673885,True,0.004141889841683618,5000,2.582399184677195e-07,8.532900599022626e-06,16444,13,,,5101,,101,,,0.9999977089189551,2.2910810448806274e-06,0.0,0.0,0.0,2.2910810448806274e-06,False,1.6095437000039965,1.6113181000109762,1.6346854999428615,,,,,,
