method,status,time_ms,iterations,pava_calls,objective,certificate_gap,kkt_residual,linear_violation,distance_to_gurobi_inf,relative_objective_error
Restarted FISTA,converged,95.05390003323555,75,78,78.16655742976538,3.7914560380158946e-11,1.3089640482633058e-11,0.0,8.241743854919478e-06,1.5298294332982417e-11
Semismooth Newton,converged,42.52680006902665,3,7,78.16655742972748,1.4210854715202004e-14,2.220446049250313e-16,0.0,8.2417481497149e-06,1.578316088936004e-11
Gurobi,optimal,236.1703000497073,27,0,78.16655743096119,,,0.0,0.0,0.0
